C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
RHBDD2,6.97E-17,1.4176443,NCF1,9.87E-09,0.84811264,HLA-DRB1,9.59E-08,0.59427994,PSMA4,3.07E-13,0.9591724,RUNX3,1.85E-06,1.0256915,TNFSF4,2.20E-15,3.7524345,PSIP1,1.57E-09,1.45731,RAP1B,2.64E-07,1.378457,ACTB,4.95E-18,0.8377306
SYNGR2,2.18E-16,1.319712,CD3E,1.05E-08,0.20771085,EVL,2.04E-07,0.2663963,KRAS,3.77E-13,1.5810728,SERF2,2.24E-06,0.28982648,VIM,2.58E-15,1.0520039,LBH,1.58E-09,1.3299837,VASP,3.37E-07,1.335074,MZT2B,1.18E-17,2.126564
COX5B,3.17E-16,0.59963435,NAP1L1,1.57E-08,0.23372352,C1orf21,2.35E-07,3.8716755,HMGB2,3.93E-13,0.9319848,CYTIP,2.44E-06,0.5823037,ABI3,2.62E-15,1.8371832,PTPRC,1.94E-09,0.71935403,SOCS1,3.43E-07,1.4328573,HMGB3,1.38E-17,4.9900846
USP15,4.45E-16,1.0778818,RASGRP2,2.07E-08,1.8334837,LAG3,2.36E-07,1.0871046,JUN,4.35E-13,0.8303619,MYL12A,3.29E-06,0.32866314,DUSP4,3.38E-15,1.5553763,ANAPC16,2.04E-09,0.8552656,CYTIP,4.45E-07,1.0868945,RHEB,1.42E-17,2.3869984
SDF4,8.92E-16,1.1655134,IFITM2,2.46E-08,0.39303568,BTN3A2,2.66E-07,0.744268,CD52,4.91E-13,0.55881435,GZMM,3.78E-06,0.90265286,SOCS1,3.77E-15,1.5415673,PCBP2,2.16E-09,0.9817074,CD70,4.62E-07,2.268858,MXD3,1.45E-17,5.731374
RORA,2.51E-15,0.76909536,TIMP1,3.31E-08,0.756405,EMP3,3.36E-07,0.41370517,GSTP1,7.83E-13,0.8878125,CBLB,3.82E-06,1.5806925,ALOX5AP,3.86E-15,1.3589541,ICAM3,2.24E-09,1.0380635,MZT2A,4.62E-07,1.2622348,CCNB2,1.74E-17,5.6299176
CFLAR,3.24E-15,0.7876636,GIMAP1,4.02E-08,0.8800224,FAM102A,3.38E-07,1.2211677,DUSP4,9.37E-13,1.1089367,LAG3,4.01E-06,1.2546816,CKLF,4.05E-15,1.2487276,TSHZ2,2.78E-09,2.5134232,GRAP2,4.90E-07,1.7069371,CCDC34,1.86E-17,4.047167
HACD1,3.86E-15,3.1032653,KLF6,5.99E-08,0.27845445,EEF1D,3.96E-07,0.16938849,ANKRD11,9.40E-13,1.1972548,LCK,5.25E-06,0.46266365,IFI44L,4.43E-15,2.718837,ETS1,2.85E-09,0.99082494,ARPC3,6.09E-07,0.9248515,FEN1,2.77E-17,4.322841
PARK7,4.29E-15,0.6413405,EIF3K,8.20E-08,0.25516683,MYO1F,7.84E-07,0.801449,KMT2A,9.47E-13,1.3868077,CFL1,5.25E-06,0.25166577,BHLHE40,4.44E-15,2.1060371,FBLN7,2.87E-09,2.3097968,TBCB,6.58E-07,1.3083825,RACGAP1,3.02E-17,4.5151677
EPSTI1,5.19E-15,1.2310897,GPSM3,1.30E-07,0.38985422,PSMB9,9.44E-07,0.29379597,FNBP1,1.03E-12,0.85363954,GLIPR1,6.79E-06,0.9612746,CD82,6.39E-15,1.5913024,SEC11A,2.95E-09,1.1246134,DBI,6.60E-07,1.214881,CEP57,3.13E-17,2.510236
IKZF4,5.25E-15,2.9048994,CYTIP,1.59E-07,0.27563745,CD99,1.30E-06,0.37233406,TBL1XR1,1.22E-12,1.500034,CD55,9.74E-06,1.7145917,VCAM1,6.96E-15,5.439958,IGFL2,3.25E-09,5.9581776,TSEN54,6.66E-07,1.8180394,HNRNPAB,3.39E-17,2.5327928
STAM,7.35E-15,2.1157649,VIM,3.27E-07,0.23993248,TERF2IP,1.47E-06,0.47025052,STK17B,1.80E-12,0.8155665,LCP1,1.47E-05,0.6309717,IFI27L2,7.25E-15,1.3842378,GDI2,5.60E-09,1.1859031,HMOX2,7.13E-07,1.4557623,TPI1,5.44E-17,1.8930621
PPM1G,7.66E-15,0.8543605,SNRPD2,3.56E-07,0.2032356,ITM2B,1.64E-06,0.24295151,MTPN,1.82E-12,1.3542427,SMIM3,2.85E-05,2.0942214,CDK6,7.35E-15,2.1476696,AKAP13,7.18E-09,1.0939925,CCDC107,7.21E-07,1.3148978,CDCA3,5.51E-17,5.6321497
C4orf48,1.66E-14,0.82986456,CD37,1.60E-06,0.2868806,CORO1A,1.65E-06,0.19873695,BDP1,1.93E-12,1.4751654,VASP,3.44E-05,0.8533795,TPI1,9.91E-15,1.2400849,SPOCK2,7.25E-09,1.0425994,NUDT14,7.31E-07,1.9165784,SIVA1,5.73E-17,2.2316163
YWHAB,2.02E-14,0.5933961,PTMA,1.82E-06,0.09622625,UBB,2.00E-06,0.20823038,HP1BP3,1.96E-12,1.0499183,CAP1,4.03E-05,0.5291214,CDKN2C,1.31E-14,2.6606514,CD37,8.82E-09,0.8636733,PPIB,7.51E-07,1.1642729,CENPE,6.47E-17,4.947819
ISG20,2.06E-14,0.6456829,CCNI,1.96E-06,0.18804568,DKK3,2.05E-06,4.5653353,ACTR2,2.01E-12,0.9447321,PTGER4,5.64E-05,1.1347841,TYMP,1.51E-14,1.4915037,CD82,9.45E-09,1.3337386,FXYD3,7.62E-07,1.8058784,CDCA8,7.43E-17,5.495834
CASP1,5.09E-14,0.9586181,TCF7,2.27E-06,0.9231967,SLAMF7,2.26E-06,2.935601,EPCAM,2.23E-12,1.8175486,RGL4,7.38E-05,1.2678385,TNFSF10,1.51E-14,2.0276337,COMMD6,9.89E-09,0.7800698,AQP3,8.35E-07,1.6453013,PPIA,7.77E-17,1.3770221
STAT3,8.00E-14,0.7970197,CD53,2.49E-06,0.29546887,PIK3R1,2.32E-06,0.8688736,IKZF3,2.93E-12,1.0510012,ARPC2,7.42E-05,0.35922602,FABP5,3.65E-14,1.6956992,CLPP,9.93E-09,1.3688805,CAPN1,8.49E-07,1.7891482,CENPH,1.30E-16,3.612187
HTATIP2,1.81E-13,1.3679439,FOXP1,3.59E-06,0.69620156,TMA7,2.62E-06,0.14174809,CCDC167,3.23E-12,1.0580857,GPR34,7.74E-05,2.7639408,IL2RB,6.77E-14,1.5788411,SPCS1,1.49E-08,0.9650892,CISH,8.72E-07,2.0519445,CBX5,1.33E-16,2.6713154
MAST4,2.03E-13,1.6993757,EIF3F,3.79E-06,0.2970194,BIN2,2.77E-06,0.66605943,ZNF331,4.14E-12,1.7372297,ECI2,0.000139579,1.5962354,FKBP1A,8.57E-14,1.2773387,FAU,1.58E-08,0.38387322,TMEM50A,1.13E-06,1.1986784,LSM4,1.37E-16,2.26233
RBPJ,2.13E-13,0.71455944,TMSB4X,4.03E-06,0.07150987,TOMM7,2.96E-06,0.124712855,PNISR,4.35E-12,0.7482107,KLRC2,0.000162235,2.2997618,IDH2,8.57E-14,1.451179,MAGEH1,1.68E-08,1.9255323,GNLY,1.26E-06,1.9839251,KIF23,1.67E-16,5.8898416
GAPDH,2.18E-13,0.37689048,IL2,4.13E-06,3.6686826,PILRB,2.97E-06,1.6431938,GPX2,4.48E-12,1.9663337,RHOC,0.000170508,0.7061031,S100A11,9.16E-14,1.1230861,UQCRC2,2.10E-08,1.228427,ARRB2,1.28E-06,1.623984,HLA-DRA,1.92E-16,2.2601779
PHTF2,2.30E-13,1.4376521,TUBA4A,4.47E-06,0.4813209,SUN2,3.07E-06,0.88511074,GOLGB1,7.46E-12,1.5652373,PDCD4,0.000185409,0.75739545,ITGB7,1.17E-13,1.7295521,UBXN1,2.20E-08,0.98076004,COMMD8,1.88E-06,1.537169,COX8A,2.03E-16,1.5889943
SAMSN1,2.32E-13,0.71423405,HLA-B,4.71E-06,0.10772996,AOAH,3.40E-06,2.0154123,VMP1,8.09E-12,0.915262,FOSB,0.000216401,0.6714838,PSMB8,1.32E-13,1.2269793,TMEM123,2.31E-08,1.1638033,ITGAE,1.90E-06,1.4794818,CACYBP,2.09E-16,2.1608543
HLA-DRB1,2.67E-13,0.7499526,ABRACL,8.60E-06,0.3397237,CHI3L2,3.43E-06,2.5971644,CALM1,9.52E-12,0.61393714,PDIA3,0.000219782,0.6290113,ANXA5,1.38E-13,1.4519233,PFDN5,2.48E-08,0.5056622,ARPC2,2.19E-06,0.8909651,HSP90AA1,2.78E-16,1.6597368
RHOG,3.42E-13,0.76361084,ARHGAP15,8.77E-06,0.6299544,HERPUD1,7.81E-06,0.47584203,SDCBP,1.28E-11,1.056184,PSME1,0.000230818,0.39406684,PLP2,1.58E-13,1.25094,HMGN1,2.78E-08,0.80197513,GUK1,2.39E-06,1.1092012,VIM,2.96E-16,1.5568984
SLC25A3,4.10E-13,0.6253177,SSR4,9.35E-06,0.21913244,PTGDR,8.31E-06,3.0423794,SCAF11,1.38E-11,0.96301633,MYL6,0.000272107,0.24839114,PMF1,2.69E-13,1.6106318,MAF,2.84E-08,1.3702682,PLP2,2.61E-06,1.1757406,ARL6IP1,3.72E-16,2.3016055
CD59,4.24E-13,1.2794667,FTL,1.03E-05,0.09898109,STOM,1.08E-05,1.0179425,SYTL2,1.64E-11,2.4095902,FKBP11,0.000281784,0.9305024,ITGB2,3.02E-13,1.2715663,EIF3D,3.02E-08,1.0275161,TNFSF13B,2.89E-06,2.4734385,TMEM106C,3.73E-16,2.8702877
DYNLL1,5.03E-13,0.6241147,HLA-E,1.21E-05,0.10423539,SSR2,1.13E-05,0.25891235,EIF1AY,1.89E-11,3.4742553,CD247,0.000334687,0.677246,ARPC5L,6.01E-13,1.3755226,GATA3,3.74E-08,1.3266877,SEC61G,3.05E-06,1.1254585,CENPK,4.40E-16,3.0205178
PIM3,7.56E-13,1.4065961,ALOX5AP,2.41E-05,0.38837188,ETS1,2.51E-05,0.34156394,BCLAF1,2.59E-11,1.0878719,STK17A,0.00039252,0.5197491,CST7,1.06E-12,1.256866,RAP1A,4.40E-08,0.9483841,CAP1,3.86E-06,1.1658276,MIS18BP1,5.13E-16,2.4510713
SOCS3,9.20E-13,1.3220512,MAL,3.15E-05,1.241842,CD37,2.66E-05,0.22574987,NFKBIZ,2.61E-11,1.3073049,GPR65,0.000456781,1.0672138,MAD2L2,1.83E-12,1.9445562,CD4,4.46E-08,1.4233512,EPSTI1,4.03E-06,1.5626471,GGH,6.51E-16,3.9752707
EDF1,1.01E-12,0.5328113,SLC25A6,4.21E-05,0.13353074,TMEM109,2.81E-05,1.0485976,PYCARD,3.03E-11,1.0706815,DAPK2,0.00050664,2.166995,SPRY1,2.32E-12,2.0874758,NDUFB1,4.69E-08,0.91107523,KRT19,4.25E-06,2.0645163,LSM5,7.49E-16,2.2227705
NOP10,1.26E-12,0.64278436,IFNGR1,4.59E-05,1.1890358,KLF2,3.93E-05,1.2769035,RGS1,3.86E-11,0.8516189,ACTR3,0.000511622,0.42394203,RHOA,2.47E-12,1.0968049,DDX5,6.11E-08,0.6315514,MRPS6,4.84E-06,1.237829,SPC25,8.10E-16,5.6652126
CMTM6,1.81E-12,0.8935879,HNRNPA1,5.13E-05,0.034546338,GIMAP2,5.76E-05,0.7913772,PAK2,5.85E-11,0.98010486,CALR,0.000529188,0.5099933,RNF167,2.98E-12,1.3416481,EIF3E,9.93E-08,0.78244203,PSME1,4.99E-06,0.946661,SNRPD1,8.43E-16,2.1488247
TNFRSF9,1.90E-12,1.8755238,GIMAP2,5.49E-05,0.6955105,TAPBP,6.19E-05,0.45153892,RANBP1,6.24E-11,0.9012032,CAPN12,0.000566935,2.4170837,PSME2,3.20E-12,1.1607355,SELL,1.30E-07,1.3026059,IFI27L2,5.16E-06,1.1710615,TPM4,8.68E-16,2.1799777
OAS1,2.15E-12,1.7073,ICAM2,5.64E-05,1.032462,SLAMF6,6.36E-05,1.2114687,HMGB1,6.75E-11,0.52626586,CDK2AP2,0.000720226,0.8657827,CAP1,3.21E-12,1.2019634,EIF3H,1.75E-07,0.842885,ITGB1BP1,5.68E-06,1.4453954,ACTG1,1.06E-15,1.0880393
IFI6,2.47E-12,0.8964668,TC2N,5.64E-05,0.9062951,EEF1B2,6.61E-05,0.16514742,LCP1,1.31E-10,0.75920326,FAM3C,0.000747703,1.4053305,LGALS1,3.24E-12,1.3274227,ST8SIA1,1.83E-07,3.0868971,CORO1A,6.38E-06,0.8366223,SRSF10,3.25E-15,2.069456
RHOC,3.32E-12,0.727854,OST4,5.72E-05,0.07779107,AP3S1,6.75E-05,0.76946265,ATP10D,1.34E-10,2.9261801,FKBP1A,0.000792285,0.4580931,DRAP1,3.59E-12,1.1753948,RAC1,1.87E-07,1.140543,GLUL,6.95E-06,2.1794734,HNRNPA2B1,3.34E-15,1.4454681
RAP1A,4.55E-12,0.650899,ODF2L,6.78E-05,0.5512668,ARHGEF1,7.34E-05,0.48208287,ALOX5AP,1.39E-10,0.81154203,FABP1,0.000815783,1.3039719,FAM3C,3.75E-12,2.1951432,TNFSF8,2.03E-07,2.7064025,MRPL51,9.08E-06,1.1975293,AURKA,4.17E-15,4.771735
DUSP10,4.73E-12,1.4443429,EVL,6.89E-05,0.19228537,PDCD4,7.67E-05,0.5213191,EML4,1.49E-10,0.98922026,TRAPPC1,0.001011115,0.45376858,COPZ1,4.79E-12,1.3726288,GLCCI1,3.73E-07,1.5698863,UBE2L6,9.64E-06,1.2735481,NDC80,6.08E-15,3.8267407
HAPLN3,5.74E-12,2.2721965,SORL1,9.76E-05,0.9655934,CCL3L3,7.89E-05,1.6814594,CD63,1.61E-10,0.7892644,CHST12,0.001251866,0.8391688,IFI35,4.94E-12,1.8708352,SMARCA2,3.81E-07,1.7184018,POLR2L,1.05E-05,1.0319879,VDAC3,6.74E-15,2.1975117
TNFAIP3,7.34E-12,0.6349611,CD47,0.00012435,0.5692189,PLAC8,8.01E-05,1.2107133,PSMB9,1.87E-10,0.62951744,CDC42,0.001339103,0.51397485,PRDX6,5.08E-12,1.3373202,ARID5B,4.11E-07,1.1296322,SNRPG,1.08E-05,1.0892853,ARPC2,6.91E-15,1.3298126
TNIP2,8.63E-12,1.2687328,SLC2A3,0.000124996,0.5317186,TPRG1,8.65E-05,2.5367324,DDX3Y,2.26E-10,3.3108535,SRGN,0.001793075,0.19963585,SAMD3,6.10E-12,2.05755,DGKA,4.45E-07,1.7783896,ACTR3,1.08E-05,1.0210727,MELK,1.06E-14,5.6435156
FXYD5,9.95E-12,0.5272987,TRADD,0.000128259,0.7153799,TNIP3,0.000112395,1.2428349,STK17A,2.32E-10,0.7253602,CLIC1,0.001872527,0.33725312,CD9,6.78E-12,2.1579683,BATF,5.29E-07,0.98872346,CLEC2B,1.14E-05,1.1732674,ANXA5,1.11E-14,2.0541914
ANKRD10,9.97E-12,1.2332312,MGAT4A,0.000194462,0.8110123,PIP4K2A,0.000154303,0.8756209,LUC7L3,2.45E-10,0.9262166,ACTG1,0.001920731,0.32393834,SLA2,6.98E-12,1.9651035,IL6R,5.31E-07,2.511068,PPP1R18,1.22E-05,1.0994943,CCNB1,1.37E-14,4.768362
PTP4A3,1.07E-11,2.333198,FLT3LG,0.000207649,0.91752285,SIGIRR,0.000214741,0.6148979,IQGAP1,2.82E-10,0.8459838,PELO,0.002043945,2.0475264,CD27,8.05E-12,1.2416099,BRK1,5.41E-07,0.8067128,RUNX3,1.22E-05,1.2027912,HSPD1,1.43E-14,2.1703787
NDUFC1,1.11E-11,0.80631995,ERN1,0.000255135,1.1806843,RUNX3,0.00025919,0.5758342,NUCKS1,3.27E-10,0.84323436,DBI,0.002252393,0.4011955,ARF6,9.32E-12,1.1741338,ICOS,6.04E-07,1.3051702,ZNF90,1.29E-05,1.5113152,DDX39A,1.71E-14,2.3463247
IL1R2,1.20E-11,4.5736094,ARHGDIB,0.000270775,0.027688395,AKNA,0.000273818,0.6258738,MYL6,3.90E-10,0.4308251,METTL9,0.002493232,0.6156433,GABARAPL1,1.08E-11,2.005685,ARGLU1,6.10E-07,0.91178554,ARHGDIB,1.50E-05,0.7050993,MRPL27,2.02E-14,2.3071308
GATA3,1.50E-11,0.9273286,CD6,0.000277976,0.505555,EIF3G,0.000295462,0.25501037,SLC5A3,4.12E-10,2.0791357,PRDX5,0.002730412,0.4598842,LYST,1.38E-11,1.5971512,IQGAP1,6.25E-07,1.0065886,MRPL13,1.50E-05,1.633103,FBXO5,2.22E-14,4.5386405
ATOX1,1.96E-11,1.0474387,DYNLT3,0.000352395,0.94725615,PNRC1,0.000336111,0.21789593,RHOB,4.36E-10,1.6223147,CD53,0.002748093,0.36302128,HSPA5,1.74E-11,1.4114267,ITGAE,7.77E-07,1.2716734,CD5,1.61E-05,1.5067539,MZT1,2.28E-14,2.526319
CIRBP,3.32E-11,0.50999534,AAK1,0.000372201,0.34372526,PARP8,0.000363588,0.9086601,PCBP1,4.66E-10,0.80779386,P2RY11,0.002894097,2.8315942,PARK7,1.90E-11,1.1213684,PGLS,7.83E-07,1.1622953,TXNDC17,1.80E-05,1.3494291,CDC25B,2.31E-14,2.639103
APLP2,3.79E-11,1.4481472,TNFAIP8,0.00039916,0.46329838,TLE4,0.000381787,0.84940386,IL17A,4.91E-10,3.723753,ARHGDIB,0.00302772,0.22675301,PGK1,3.23E-11,1.1386632,GAPDH,8.60E-07,0.49716413,PSMB10,1.93E-05,1.4029521,FAM111A,2.77E-14,2.7205374
TPP1,3.80E-11,1.1292502,APRT,0.000522327,0.18036585,BIN1,0.000391368,0.5773464,C12orf75,6.05E-10,1.005467,PGK1,0.003094324,0.3827703,CSF1,5.06E-11,2.383563,HPCAL1,8.77E-07,1.5798799,GZMH,1.96E-05,1.4360297,BARD1,4.09E-14,3.1836128
IL2RB,4.14E-11,0.8726032,CD55,0.000528477,1.0241877,GSTP1,0.000391681,0.35378784,DNAJA4,6.08E-10,2.742979,PPDPF,0.003269972,0.30020642,PDIA3,6.70E-11,1.1787381,SMDT1,9.67E-07,0.94813424,MPC1,1.97E-05,1.5218892,C12orf75,4.59E-14,2.0330818
CD177,4.89E-11,4.9619365,IER2,0.00063275,0.36684397,UBA52,0.000394223,0.10913733,HSP90B1,7.03E-10,0.8836907,BUB3,0.003276274,0.49275672,UBE2L6,7.21E-11,1.3056215,CPA5,9.82E-07,2.6960592,CCL4,2.00E-05,1.4347246,ATAD2,4.71E-14,3.1012049
ZC3H7A,5.06E-11,1.5728928,CUTA,0.000742525,0.24012378,ERP29,0.000445401,0.28622898,GNPTAB,7.47E-10,1.6766806,TMED2,0.003309864,0.54472744,ENSA,9.52E-11,1.1874303,SMAP2,1.20E-06,1.0967268,CTSD,2.25E-05,1.084089,KIF2C,4.75E-14,5.492562
NDUFV2,5.51E-11,0.66890013,GMFG,0.000776247,0.09172026,SYNE1,0.000465619,1.0479887,NASP,7.88E-10,1.1492403,HSPA5,0.003464601,0.7036311,LGALS3,1.13E-10,1.2226198,ZMYM2,1.46E-06,1.4253556,COX7B,2.29E-05,1.0150003,SKA2,5.58E-14,2.3115706
F5,5.56E-11,3.1117907,CD99,0.000777043,0.21915296,ANXA2R,0.000472204,0.96233326,HSPB1,8.55E-10,0.8047253,BZW1,0.003534036,0.63563657,FASLG,1.19E-10,3.019138,PNISR,1.49E-06,0.80672145,RNF167,2.31E-05,1.1956147,LSM3,5.95E-14,2.0150843
JAK1,8.14E-11,0.60041094,TXK,0.000813812,1.4217737,SIPA1,0.000482054,1.3077468,HLA-DRA,9.06E-10,0.8759814,PFN1,0.003857668,0.13355282,IFI16,1.30E-10,1.0982133,SLC25A3,1.75E-06,0.8501109,IL26,2.36E-05,3.2927296,SMC3,6.83E-14,1.9844735
LMNA,9.03E-11,1.360663,EVI2B,0.000910519,0.35863847,ARPC5L,0.000685142,0.48591164,CKS2,1.09E-09,1.3641495,FYN,0.003906002,0.5354698,HLA-A,1.30E-10,0.52690476,WDR83OS,1.88E-06,0.8802778,TSPO,2.38E-05,1.0362234,SRSF3,6.99E-14,1.7677739
NCF4,1.07E-10,1.3354154,ERP29,0.000957514,0.24295913,LYST,0.000757995,0.8585189,AHI1,1.29E-09,2.271103,MSN,0.004388839,0.45834443,CDK2AP2,1.34E-10,1.3743105,RNF145,1.94E-06,1.3124855,DERL1,2.57E-05,1.3834828,TROAP,7.75E-14,5.12338
SMAP2,1.14E-10,0.7730252,RORA,0.001033988,0.3309976,RNF213,0.0008303,0.2657214,BPTF,1.35E-09,1.1871341,VPS26A,0.004472658,1.020178,UBB,3.69E-10,0.76358914,UQCR11,1.94E-06,0.64781284,ARHGAP18,2.58E-05,1.7685553,YEATS4,1.02E-13,2.5800583
RNF145,1.32E-10,0.91541725,PPP1R2,0.001094517,0.2996892,MRPL10,0.001054581,1.1617109,CCL20,1.50E-09,1.5504979,CORO1A,0.004527365,0.27007866,CD2BP2,3.78E-10,1.4838326,PABPC1,2.12E-06,0.6141556,SNRPD3,2.78E-05,1.1632107,HSPB11,1.08E-13,2.0525503
MRPS6,1.48E-10,0.7097047,EIF3L,0.00110076,0.27677554,IL16,0.001521356,0.61725855,MAP4,1.77E-09,1.4180548,GADD45B,0.004625066,0.8640248,EMP3,4.58E-10,1.0685761,MSI2,2.35E-06,1.4736619,LPXN,2.87E-05,1.2412537,SMC1A,1.43E-13,2.2905574
FCMR,1.89E-10,1.0263685,IKZF1,0.001220767,0.50429356,TBC1D10C,0.001536311,0.27323622,CDC42,1.88E-09,0.72268224,IDH2,0.004838486,0.59565216,NOP10,4.68E-10,1.1134144,EIF4B,2.68E-06,0.9356404,IL2RG,3.22E-05,1.0217037,TPGS2,1.46E-13,2.2917745
HERPUD1,2.07E-10,0.63093907,CNBP,0.001425298,0.2182519,RAC2,0.001626027,0.13592851,SLTM,2.37E-09,0.94918704,MAPK1,0.005127949,1.3204432,SAMSN1,5.76E-10,1.1379555,SYPL1,2.76E-06,1.4149882,NCF4,3.29E-05,1.7153084,LSM2,1.73E-13,1.9179974
ATP1B1,2.11E-10,1.8132154,SEC62,0.001455819,0.34147942,NUCB2,0.00167748,0.9409925,POLR2J3,3.39E-09,0.7724723,PPP2R5C,0.005207118,0.41543424,PIM1,8.49E-10,1.3200238,OAZ1,3.65E-06,0.5014621,PA2G4,3.39E-05,1.0686519,RNASEH2A,1.83E-13,3.0933795
CD28,3.03E-10,1.2152795,NMRK1,0.001586334,0.7178913,SARAF,0.001745573,0.102396265,ITGA1,3.59E-09,1.5484278,BCAS4,0.005507617,1.5708419,PTPN6,9.92E-10,1.3664923,FABP5,3.89E-06,1.2548249,IFITM2,3.45E-05,1.0138943,CDKN2D,1.98E-13,3.128767
LGALS3,3.27E-10,0.6514489,YBX1,0.001724281,0.064182855,CXCR3,0.002143337,0.67820805,HNRNPU,3.95E-09,0.79199535,RAC2,0.005725966,0.19867042,GGA2,1.15E-09,1.8282217,PRR13,3.92E-06,0.81833965,ATP1A1,3.55E-05,1.132072,DHFR,2.29E-13,3.8791375
HSPB1,4.04E-10,0.6256183,EIF2S3,0.001836583,0.5324954,ACAP1,0.002346529,0.10069204,STX16,4.02E-09,1.5569149,SLAMF7,0.005945231,2.065015,CRIP1,1.31E-09,1.0917698,SH3BGRL,4.11E-06,0.8674574,FKBP1A,3.61E-05,1.0692374,PFN1,2.31E-13,0.91570604
KCNN4,4.41E-10,1.9590603,SSR2,0.001860794,0.14532575,LY9,0.003150364,1.1372912,IDS,4.16E-09,0.8570339,ST3GAL1,0.006000307,1.0285976,HLA-DMB,1.35E-09,2.5607767,TMA7,4.19E-06,0.48590046,NDFIP2,3.85E-05,1.4597243,CCDC167,2.48E-13,1.9632728
SEC11C,5.08E-10,0.796714,KLF2,0.001944396,0.9498409,CD300A,0.003336447,2.0967515,ITGB1,4.32E-09,0.926599,GPR55,0.006390022,3.1594768,DYNLRB1,1.78E-09,1.0860875,BANF1,4.44E-06,0.9542573,IFI6,3.99E-05,1.234663,VPS29,2.53E-13,1.8850394
SEC14L1,5.32E-10,1.480816,STK4,0.003097235,0.19762138,GPR183,0.003353098,0.42754588,UTRN,4.38E-09,1.3959485,ECH1,0.006548875,0.49963057,RALY,2.03E-09,1.1749592,CCDC50,4.53E-06,2.1499922,CD58,4.75E-05,1.3512626,MRPL18,3.37E-13,1.9820217
SQSTM1,5.63E-10,0.6914011,SYPL1,0.003267167,0.6375591,PECAM1,0.003466556,2.0707712,BHLHE40,4.71E-09,1.4066658,GFOD1,0.00661849,2.1220584,CD52,2.55E-09,0.6825016,C12orf57,4.60E-06,0.72133774,DCTN3,4.93E-05,1.199867,FOXM1,5.19E-13,5.489574
CTSA,6.02E-10,0.83115625,C4orf3,0.00352324,0.19245802,ARHGAP25,0.003578962,0.74456125,S100A11,5.26E-09,0.68315357,ZBTB16,0.006773097,1.8657055,SUPT3H,2.75E-09,1.9068097,P2RX5,5.13E-06,2.468886,VDAC2,5.02E-05,1.1244888,NASP,5.58E-13,2.0614245
TRAF1,6.70E-10,1.230271,TTC39C,0.003670118,0.5527244,VAMP2,0.004168658,0.20342107,DHX36,5.61E-09,0.9061488,GYG1,0.007470445,0.94211215,ITGA1,3.01E-09,1.6778134,TBC1D4,7.38E-06,1.2778127,RNF7,5.29E-05,1.1250824,RNASEH2C,6.39E-13,2.0621364
SMS,8.73E-10,0.8843925,M6PR,0.003904536,0.46209517,PLP2,0.00472389,0.25357202,NDUFS6,5.88E-09,0.7207273,UBASH3B,0.007563564,2.1929722,YWHAH,3.21E-09,1.3879313,VPS28,7.95E-06,0.81582355,MPC2,5.35E-05,1.191609,NCAPD3,7.08E-13,3.689855
MAP1LC3A,9.20E-10,1.8173462,TAGAP,0.004035602,0.439602,SRSF2,0.004842028,0.1571656,IFI27L2,6.86E-09,0.75903773,DOCK10,0.007973733,1.14867,RBCK1,3.33E-09,1.1771797,AP3S1,8.61E-06,1.1301141,PSMB2,5.46E-05,1.1205027,MTHFD2,7.65E-13,2.2031014
GPX4,1.02E-09,0.5222752,TOB1,0.004310375,0.71563226,EIF1,0.00534585,0.034528527,KRT18,7.01E-09,1.2297477,PCID2,0.008227647,1.1106573,SLC3A2,3.43E-09,1.308083,DEK,8.98E-06,0.86185205,NASP,5.70E-05,1.2514658,PGAM1,8.13E-13,1.85747
TNFRSF25,1.03E-09,0.8748546,PRKX,0.004399243,0.6077166,HMGA1,0.005785718,0.59056675,STMN1,8.06E-09,1.515675,CCL3L3,0.008531594,1.5080596,CCR5,3.56E-09,1.9374336,SSR2,9.22E-06,0.696994,CD99,5.83E-05,1.0072044,NONO,8.23E-13,1.8840746
DUSP16,1.29E-09,1.5124879,C1orf56,0.004415372,0.6673577,LCP1,0.00579733,0.21974865,CHORDC1,8.62E-09,1.4519725,ABRACL,0.008665769,0.3780424,IVNS1ABP,3.75E-09,1.481238,NFATC1,9.34E-06,2.574779,TSPAN14,5.97E-05,1.2001175,YWHAH,8.63E-13,2.1229274
